Alamat,Industri,SubIndustri,Email,Fax,KegiatanUsahaUtama,KodeEmiten,NPWP,PapanPencatatan,Sektor,SubSektor,TanggalPencatatan,Telepon,Website,Logo,NamaEmiten
"BAKRIE TOWER LT. 12, KOMPLEK RASUNA EPICENTRUM, JL. H.R. RASUNA SAID, JAKARTA SELATAN 12940",COAL,COAL PRODUCTION,corsec@bumiresources.com,(021) 5794 2070,PERUSAHAAN INDUK PERTAMBANGAN,BUMI,01.122.101.7-054.000,MAIN,ENERGY,"OIL, GAS & COAL",1990-07-30T00:00:00,(021) 5794 2080,http://www.bumiresources.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/BUMI.jpg,BUMI RESOURCES TBK
"GEDUNG GRAHA ISKANDARSYAH LANTAI 6, JALAN ISKANDARSYAH RAYA NO 66C, JAKARTA SELATAN 12160",TOURISM & RECREATION,"HOTELS, RESORTS & CRUISE LINES",corsec@buvagroup.com,Kantor cabang : 021-7207523,JASA AKOMODASI DAN BIDANG PERHOTELAN,BUVA,02.097.827.6-054.001,DEVELOPMENT,CONSUMER CYCLICALS,CONSUMER SERVICES,2010-07-12T00:00:00,Kantor cabang :021-7209957,www.buvagroup.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/BUVA.jpg,PT BUKIT ULUWATU VILLA TBK
"GRAHA BIP LANTAI 10, JL. GATOT SUBROTO KAV. 23, JAKARTA",BANKS,BANKS,corsec@victoriabank.co.id,021-5228777,PERBANKAN,BVIC,01.592.025.9-054.000,MAIN,FINANCIALS,BANKS,1999-06-30T00:00:00,021-5228888,www.victoriabank.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/BVIC.jpg,BANK VICTORIA INTERNATIONAL TBK
"RAJAWALI PLACE LT. 28, JL. HR RASUNA SAID KAV. B/4, RT 003/RW 07, KEL. SETIABUDI, KEC. SETIABUDI, JAKARTA SELATAN 12910",AGRICULTURAL PRODUCTS,PLANTATIONS & CROPS,corsec@eaglehighplantations.com,-,AGRICULTURE PLANTATION,BWPT,01.882.908.5-054.000,MAIN,CONSUMER NON-CYCLICALS,FOOD & BEVERAGE,2009-10-27T00:00:00,(021) 8665 8828,www.eaglehighplantations.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/BWPT.jpg,EAGLE HIGH PLANTATIONS TBK
"GEDUNG OFFICE 8, LANTAI 37 UNIT A-H JL. SENOPATI NO. 8B, SENAYAN, KEBAYORAN BARU, JAKARTA SELATAN 12950 - INDONESIA",COAL,COAL PRODUCTION,corporate.secretary@bayan.com.sg,021-2935 6999,PERTAMBANGAN BATUBARA(COAL MINING),BYAN,02.433.110.0-091.000,MAIN,ENERGY,"OIL, GAS & COAL",2008-08-12T00:00:00,021-2935 6888,www.bayan.com.sg,/Portals/0/StaticData/ListedCompanies/LogoEmiten/BYAN.jpg,BAYAN RESOURCES TBK
"BELLEZA OFFICE TOWER LT. 21 UNIT 01 - 02, JL. LETJEN. SOEPENO NO. 34, KEBAYORAN LAMA, JAKARTA SELATAN 12210",BUILDING PRODUCTS & FIXTURES,BUILDING PRODUCTS & FIXTURES,support@kaisarceramics.com,-,INDUSTRI BAHAN BANGUNAN DARI KERAMIK,CAKK,0016 8633 3402 8000,DEVELOPMENT,INDUSTRIALS,INDUSTRIAL GOODS,2018-10-31T00:00:00,(021) 25675721,www.kaisar-ceramics.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/CAKK.jpg,PT CAHAYAPUTRA ASA KERAMIK TBK
"JL. RUNGKUT INDUSTRI II/ 15-17 SURABAYA, RT.002 RW.006 KEL. TENGGILIS MEJOYO KEC. TENGGILIS MEJOYO, SURABAYA",PROCESSED FOODS,DAIRY PRODUCTS,corsec@campina.co.id,(031) 843-9232,INDUSTRI PENGOLAHAN ES KRIM,CAMP,0017 2274 1463 1000,DEVELOPMENT,CONSUMER NON-CYCLICALS,FOOD & BEVERAGE,2017-12-19T00:00:00,(031) 843-2247,www.campina.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/CAMP.jpg,PT CAMPINA ICE CREAM INDUSTRY TBK
"JL. RAYA SERANG KM 16,8 RT/RW 005/001, KELURAHAN SUKAMULYA, KECAMATAN CIKUPA, KABUPATEN TANGERANG, 15710",HEALTHCARE PROVIDERS,HEALTHCARE PROVIDERS,cs@metrohealthcareindonesia.co.id,+62 21 5964 7871,BERGERAK DALAM BIDANG JASA KONSULTASI MANAJEMEN DAN MELAKUKAN INVESTASI PADA ENTITAS ANAK,CARE,80.466.308.6-011.000,DEVELOPMENT,HEALTHCARE,HEALTHCARE EQUIPMENT & PROVIDERS,2020-03-13T00:00:00,+62 21 5964 7937,www.metrohealthcareindonesia.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/CARE.jpg,PT METRO HEALTHCARE INDONESIA TBK
GEDUNG MENARA JAMSOSTEK MENARA UTARA LT. 5 JL. JEND. GATOT SUBROTO NO.38 MAMPANG PRAPATAN,HOLDING & INVESTMENT COMPANIES,FINANCIAL HOLDINGS,corporate@capitalfinancial.co.id,(62) (21) 2708 2001,BERGERAK DALAM BIDANG JASA DAN INVESTASI,CASA,0029 9154 7701 2000,DEVELOPMENT,FINANCIALS,HOLDING & INVESTMENT COMPANIES,2016-07-19T00:00:00,(62) (21) 2708 2002,www.capitalfinancial.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/CASA.jpg,PT CAPITAL FINANCIAL INDONESIA TBK
"GEDUNG ATRIA @SUDIRMAN, LANTAI 23, JL. JENDERAL SUDIRMAN KAV. 33A, RT.3/RW.2, KARET TENGSIN, KECAMATAN TANAH ABANG, KOTA JAKARTA PUSAT, 10220",ONLINE APPLICATIONS & SERVICES,ONLINE APPLICATIONS & SERVICES,corsec@cashlez.com,0,JASA FINANSIAL TEKNOLOGI DAN PEMBAYARAN DIGITAL,CASH,73.272.717.7-036.000,ACCELERATION,TECHNOLOGY,SOFTWARE & IT SERVICES,2020-05-04T00:00:00,0813-8080-7899,www.cashlez.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/CASH.jpg,PT CASHLEZ WORLDWIDE INDONESIA TBK
"WISMA SOEWARNA LT.3, SOEWARNA BUSINESS PARK, BANDARA INTERNATIONAL SOEKARNO HATTA, KELURAHAN PAJANG, KECAMATAN BENDA, KOTA TANGERANG, BANTEN 15126",TRANSPORT INFRASTRUCTURE OPERATOR,AIRPORT OPERATORS,corporatesecretary@pt-cas.com,(021) 80885001,PELAYANAN JASA TERKAIT BANDAR UDARA,CASS,002.995.094.6-054.000,MAIN,INFRASTRUCTURES,TRANSPORTATION INFRASTRUCTURE,2011-12-05T00:00:00,(021) 80885050,www.pt-cas.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/CASS.jpg,CAHAYA AERO SERVICES TBK
"GRAND SLIPI TOWER LANTAI 45 JALAN LETJEN S. PARMAN KAV 22-24 RT.001/ RW.004, KEL PALMERAH, KEC. PALMERAH, KOTA ADMINISTRASI JAKARTA BARAT",ELECTRICAL,ELECTRICAL COMPONENTS & EQUIPMENT,corsec@ccsi.co.id,021-29865984,"INDUSTRI KABEL SERAT OPTIK, INDUSTRI KABEL LISTRIK DAN ELEKTRONIK LAINNYA, INDUSTRI PIPA PLASTIK DAN PERLENGKAPANNY",CCSI,01.071.235.4-055.000,DEVELOPMENT,INDUSTRIALS,INDUSTRIAL GOODS,2019-06-18T00:00:00,021-29865963,www.ccsi.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/CCSI.jpg,PT COMMUNICATION CABLE SYSTEMS INDONESIA TBK
"GEDUNG MULTIVISION TOWER LANTAI 16, JALAN KUNINGAN MULIA LOT 9B, RT.14/RW.4, KELURAHAN GUNTUR, KECAMATAN SETIABUDI, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA, 12980",PROCESSED FOODS,PROCESSED FOODS,dwi.iriyadi@id.wilmar-intl.com,021 - 8937143,INDUSTRI MAKANAN,CEKA,0011105111054000,DEVELOPMENT,CONSUMER NON-CYCLICALS,FOOD & BEVERAGE,1996-07-09T00:00:00,021-29380777,www.wilmarcahayaindonesia.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/CEKA.jpg,PT WILMAR CAHAYA INDONESIA TBK
TCC BATAVIA TOWER ONE 16TH & 19 FLOOR JL. KH. MAS MANSYUR KAV. 126 JAKARTA 10220,WIRELESS TELECOMMUNICATION SERVICES,WIRELESS TELECOMMUNICATION SERVICES,cti@centratamagroup.com,021 - 2967 8241,"PENYEDIA LAYANAN INFRASTRUKTUR TELEKOMUNIKASI, YANG MELIPUTI PENYEDIAAN, PENGELOLAAN DAN PENYEWAAN SITE TELEKOMUNIKASI DAN JARINGAN KABEL SERAT OPTIK BERIKUT SARANA PENDUKUNGNYA, MELALUI ENTITAS ANAK.",CENT,01.280.080.1-054.000,DEVELOPMENT,INFRASTRUCTURES,TELECOMMUNICATION,2001-11-01T00:00:00,021 - 2967 8240,www.centratamagroup.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/CENT.jpg,PT CENTRATAMA TELEKOMUNIKASI INDONESIA TBK
"WISMA SLIPI, LT. 6, JL. LET.JEND. S. PARMAN KAV. 12 JAKARTA 11480",CONSUMER FINANCING,CONSUMER FINANCING,corporate_secretary@clipan.co.id,021-5308026,PEMBIAYAAN,CFIN,0013083522054000,MAIN,FINANCIALS,FINANCING SERVICE,1990-08-27T00:00:00,021-5308005,www.clipan.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/CFIN.jpg,CLIPAN FINANCE INDONESIA TBK
"JL. INDUSTRI III NO. 5 RT. 001 RW.008, KELURAHAN UTAMA, KECAMATAN CIMAHI SELATAN, KOTA CIMAHI JAWA BARAT 40533",HOUSEHOLD GOODS,HOME FURNISHINGS,cint@chitose.id,-,"PERINDUSTRIAN, PERDAGANGAN DAN JASA FURNITURE.",CINT,0011184793054000,DEVELOPMENT,CONSUMER CYCLICALS,HOUSEHOLD GOODS,2014-06-27T00:00:00,(6222) 6031900,www.chitose-indonesia.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/CINT.jpg,PT CHITOSE INTERNASIONAL TBK
GEDUNG BANK PANIN LANTAI 2 JLN JEND SUDIRMAN SENAYAN GELORA TANAH ABANG JAKARTA PUSAT 10270,METALS & MINERALS,ALUMINUM,corsec@citamineral.com,021-72789885,PERTAMBANGAN,CITA,0016 7078 6109 1000,DEVELOPMENT,BASIC MATERIALS,BASIC MATERIALS,2002-03-20T00:00:00,021-7251344,citamineral.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/CITA.jpg,CITA MINERAL INVESTINDO TBK
"SENTUL INTERNATIONAL CONVENTION CENTER, SICC TOWER, LANTAI 3 JL. JEND. SUDIRMAN NO. 1, SENTUL CITY,",REAL ESTATE MANAGEMENT & DEVELOPMENT,REAL ESTATE DEVELOPMENT & MANAGEMENT,corsec@naturacity.co.id,+62 21 87953449,"PEMBANGUNAN, PERDAGANGAN DAN JASA YANG BERHUBUNGAN DENGAN REAL ESTATE PROPERTI",CITY,03.193.818.6-403.000,DEVELOPMENT,PROPERTIES & REAL ESTATE,PROPERTIES & REAL ESTATE,2018-09-28T00:00:00,+62 21 87953448,www.naturacity.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/CITY.jpg,PT NATURA CITY DEVELOPMENTS TBK
"MENARA BIDAKARA 2 LT 17 JLN. JEND. GATOT SUBROTO KAV. 71-73 MENTENG DALAM, TEBET JAKARTA SELATAN 12870",TOURISM & RECREATION,"HOTELS, RESORTS & CRUISE LINES",corporate.secretary@cpr.co.id,021-31996267,BERGERAK DALAM BIDANG AKOMODASI (JASA PERHOTELAN),CLAY,03.036.037.4-063.000,DEVELOPMENT,CONSUMER CYCLICALS,CONSUMER SERVICES,2019-01-18T00:00:00,"021-29069370, 021-31996270",https://www.cpr.co.id/,/Portals/0/StaticData/ListedCompanies/LogoEmiten/CLAY.jpg,PT CITRA PUTRA REALTY TBK
"JL RAYA A. YANI 41-43, KOMPLEKS CENTRAL SQUARE BLOK C-1, GEDANGAN SIDOARJO - 61254",BEVERAGES,SOFT DRINKS,corsec@tanobelfood.com,031 – 8544574,AIR MINUM DALAM KEMASAN,CLEO,01.233.453.8-641.000,MAIN,CONSUMER NON-CYCLICALS,FOOD & BEVERAGE,2017-05-05T00:00:00,031 – 8544400,www.tanobel.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/CLEO.jpg,PT SARIGUNA PRIMATIRTA TBK
JL. CIDENG BARAT NO.15 JAKARTA PUSAT 10140,CHEMICALS,SPECIALTY CHEMICALS,herlina@colorpak.co.id,021 - 590-1963,CHEMICALS,CLPI,01.061.759.5-054.000,DEVELOPMENT,BASIC MATERIALS,BASIC MATERIALS,2001-11-30T00:00:00,021-590-19-62,www.colorpak.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/CLPI.jpg,COLORPAK INDONESIA TBK
GEDUNG CMNP JL. YOS SUDARSO KAV. 28 JAKARTA 14350,TRANSPORT INFRASTRUCTURE OPERATOR,HIGHWAYS & RAILTRACKS,cmnp@citra.co.id,(021) 65306391,PENYELENGGARAAN JALAN TOL,CMNP,01.062.151.4-054.000,MAIN,INFRASTRUCTURES,TRANSPORTATION INFRASTRUCTURE,1995-01-10T00:00:00,(021) 65306930 (hunting),www.cmnp.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/CMNP.jpg,CITRA MARGA NUSAPHALA PERSADA TBK
"GEDUNG GAMA TOWER LANTAI 43, JL. HR RASUNA SAID KAV. C22, KUNINGAN, JAKARTA SELATAN 12940, INDONESIA",CONSTRUCTION MATERIALS,CONSTRUCTION MATERIALS,investor@cemindo.com,(021) 21889991,INDUSTRI SEMEN,CMNT,03.148.714.3-041.000,DEVELOPMENT,BASIC MATERIALS,BASIC MATERIALS,2021-09-08T00:00:00,(021) 21889999,www.cemindo.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/CMNT.jpg,PT CEMINDO GEMILANG TBK
"REDHOUSE AIRASIA, JALAN MARSEKAL SURYA DHARMA (M1) NO. 1 , NEGLASARI, TANGERANG 15127",AIRLINES,AIRLINES,iaa_corporatesecretary@airasia.com,(021) 29850889,"JASA KONSULTASI BISNIS DAN MANEJEMEN, PERDAGANGAN UMUM",CMPP,01.482.815.6-054.000,WATCHLIST,TRANSPORTATION & LOGISTIC,TRANSPORTATION,1994-12-08T00:00:00,(021) 29850888,https://ir.aaid.co.id/,/Portals/0/StaticData/ListedCompanies/LogoEmiten/CMPP.jpg,PT AIRASIA INDONESIA TBK
RUKAN TAMAN MERUYA JL. KOMP. RUKAN TAMAN MERUYA NO.N/27-28 JAKARTA BARAT 11620,PROCESSED FOODS,DAIRY PRODUCTS,corsec@cimory.com,+62 21 5874630,PRODUK SUSU PREMIUM DAN KONSUMEN PREMIUM,CMRY,02.405.764.8-431.000,MAIN,CONSUMER NON-CYCLICALS,FOOD & BEVERAGE,2021-12-06T00:00:00,+62 21 5874630,www.cimory.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/CMRY.jpg,PT CISARUA MOUNTAIN DAIRY TBK
"SINARMAS MSIG TOWER, LANTAI 9, JL. JENDRAL SUDIRMAN KAV.21, SETIABUDI, KARET, JAKARTA SELATAN",COAL,COAL DISTRIBUTION,wim.andrian@energigroupindonesia.com,021-80511134,PENAMBANGAN BATUBARA,CNKO,01.901.192.3-054.000,WATCHLIST,ENERGY,"OIL, GAS & COAL",2001-11-20T00:00:00,021-80511130 021-80511131 021-80511132 021-80511133,www.energigroupindonesia.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/CNKO.jpg,EXPLOITASI ENERGI INDONESIA TBK
"JALAN RAYA PARAKAN MUNCANG, DUSUN CIPACING, RT. 017, RW. 004, DESA MEKARBAKTI, KECAMATAN PAMULIHAN, KABUPATEN SUMEDANG, KODE POS 45365.",PROCESSED FOODS,PROCESSED FOODS,corsec@winco.co.id,-,MENJALANKAN USAHA YANG BERGERAK DI BIDANG PRODUKSI KAKAO DAN COKELAT,COCO,02.567.517.4-428.000,DEVELOPMENT,CONSUMER NON-CYCLICALS,FOOD & BEVERAGE,2019-03-20T00:00:00,-,www.wahana-interfood.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/COCO.jpg,PT WAHANA INTERFOOD NUSANTARA TBK
JL. ANCOL VIII/1 JAKARTA 14430,AGRICULTURAL PRODUCTS,"FISH, MEAT, & POULTRY",hadijanto@cp.co.id,021-690 7324,ANIMAL FEED,CPIN,01.000.172.5-092.000,MAIN,CONSUMER NON-CYCLICALS,FOOD & BEVERAGE,1991-03-18T00:00:00,021-691 9999,www.cp.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/CPIN.jpg,CHAROEN POKPHAND INDONESIA TBK
"TREASURY TOWER FLOOR 8, DISTRICT 8, JL JENDRAL SUDIRMAN KAV 52-53, SCBD, JAKARTA SELATAN",AGRICULTURAL PRODUCTS,"FISH, MEAT, & POULTRY",farah.praditya@cpp.co.id,50191788,AGRICULTURE PLANTATION,CPRO,001.002.946.0-054.000,DEVELOPMENT,CONSUMER NON-CYCLICALS,FOOD & BEVERAGE,2006-11-28T00:00:00,50191788,www.cpp.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/CPRO.jpg,CENTRAL PROTEINA PRIMA TBK
"JL. DAAN MOGOT RAYA NO.234, JAKARTA 11510",SPECIALTY RETAIL,HOME IMPROVEMENT RETAIL,corsec@csahome.com,566-9445,DISTRIBUTOR / RETAIL,CSAP,001.367.223.3-054.000,DEVELOPMENT,CONSUMER CYCLICALS,RETAILING,2007-12-12T00:00:00,"566-8801, 567-2622",www.csahome.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/CSAP.jpg,CATUR SENTOSA ADIPRANA TBK
"KAWASAN INDUSTRI OLYMPIC JALAN KAUM SARI NO. 1, KEDUNG HALANG TALANG BOGOR 16151, JAWA BARAT",REAL ESTATE MANAGEMENT & DEVELOPMENT,REAL ESTATE DEVELOPMENT & MANAGEMENT,corporate.secretary@csis.co.id,0251 8666 875,PENGEMBANGAN PROPERTI MELALUI ENTITAS ANAK SERTA HASIL INDUSTRI FURNITUR DAN JASA PELAKSANA KONSTRUKSI UMUM,CSIS,01.632.966.6-404.000,DEVELOPMENT,PROPERTIES & REAL ESTATE,PROPERTIES & REAL ESTATE,2017-05-10T00:00:00,0251 8666 873/874,www.csis.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/CSIS.jpg,PT CAHAYASAKTI INVESTINDO SUKSES TBK
"JL. PLUIT SELATAN RAYA KOMPLEK CBD PLUIT BLOK R2 B-25 JAKARTA UTARA, 14440 – INDONESIA",AGRICULTURAL PRODUCTS,PLANTATIONS & CROPS,corpsec@csr.co.id,(021) 66673310-11,MENJALANKAN USAHA DALAM BIDANG PERKEBUNAN DAN INDUSTRI PENGOLAHAN KELAPA SAWIT.,CSRA,01.062.121.7-038.000,MAIN,CONSUMER NON-CYCLICALS,FOOD & BEVERAGE,2020-01-09T00:00:00,(021) 66673312-15,www.csr.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/CSRA.jpg,PT CISADANE SAWIT RAYA TBK
WORLD TRADE CENTRE (WTC) 5 LANTAI 16 JL.JENDERAL SUDIRMAN KAV.29-31 JAKARTA SELATAN,METALS & MINERALS,IRON & STEEL,corsec@citratubindo.co.id,(021) 5712317,METAL AND ALIED PRODUCTS,CTBN,01.258.311.8-054.000,WATCHLIST,BASIC MATERIALS,BASIC MATERIALS,1989-11-28T00:00:00,(021) 5250609,www.citratubindo.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/CTBN.jpg,CITRA TUBINDO TBK
CIPUTRA WORLD 1 DBS BANK TOWER LANTAI 39 JL. PROF. DR. SATRIO KAV. 3-5 JAKARTA 12940,REAL ESTATE MANAGEMENT & DEVELOPMENT,REAL ESTATE DEVELOPMENT & MANAGEMENT,investor@ciputra.com,(021) 2988-8585,PERUSAHAAN HOLDING DAN PENGEMBANG PROPERTI,CTRA,01.374.211.9-054.000,MAIN,PROPERTIES & REAL ESTATE,PROPERTIES & REAL ESTATE,1994-03-28T00:00:00,"(021) 2988-5858, 2988-6868, 2988-7878",www.ciputradevelopment.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/CTRA.jpg,CIPUTRA DEVELOPMENT TBK
"CHASE PLAZA LT. 21, JL. JEND. SUDIRMAN KAV. 21, JAKARTA 12920",REAL ESTATE MANAGEMENT & DEVELOPMENT,REAL ESTATE DEVELOPMENT & MANAGEMENT,aka@dutaanggada.com,520 8100,PROPERTY DAN REAL ESTATE,DART,0013 6601 5405 4000,DEVELOPMENT,PROPERTIES & REAL ESTATE,PROPERTIES & REAL ESTATE,1990-05-08T00:00:00,520 8000,www.dutaanggadarealty.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/DART.jpg,DUTA ANGGADA REALTY TBK
GEDUNG EIGHTYEIGHT@KASABLANKA TOWER A LANTAI 28 DAN 37 JL. CASABLANCA RAYA KAV. 88 RT. 007 RW. 006 MENTENG DALAM TEBET JAKARTA SELATAN DKI JAKARTA,FOOD & STAPLES RETAILING,DRUG RETAIL & DISTRIBUTORS,corporate.secretary@watsons.co.id,021-2128-3002,PERDAGANGAN PRODUK KESEHATAN DAN KECANTIKAN,DAYA,02.460.408.4-063.000,DEVELOPMENT,CONSUMER NON-CYCLICALS,FOOD & STAPLES RETAILING,2016-06-28T00:00:00,021-2128-3001,www.watsons.biz.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/DAYA.jpg,PT DUTA INTIDAYA TBK
"EQUITY TOWER, LANTAI 17 UNIT F SCBD LOT. 9, JL. JEND. SUDIRMAN KAV. 52 – 53, JAKARTA 12190",IT SERVICES & CONSULTING,IT SERVICES & CONSULTING,corpsec@dci-indonesia.com,+62 21 2903 7600,BERGERAK DI BIDANG AKTIVITAS HOSTING DAN AKTIVITAS TERKAIT LAINNYA,DCII,31.366.071.4-012.000,DEVELOPMENT,TECHNOLOGY,SOFTWARE & IT SERVICES,2021-01-06T00:00:00,+62 21 2903 7500,www.dci-indonesia.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/DCII.jpg,PT DCI INDONESIA TBK
"JL. RAYA SERPONG KM2, KEL. PAKULONAN, KEC. SERPONG UTARA, TANGERANG SELATAN",SPECIALTY RETAIL,HOME IMPROVEMENT RETAIL,corp.secretary@depobangunan.co.id,021–53120707,SUPERMARKET DAN/ATAU RETAIL BAHAN BANGUNAN,DEPO,01.756.274.5-415.000,DEVELOPMENT,CONSUMER CYCLICALS,RETAILING,2021-11-25T00:00:00,021–53120808,www.depobangunan.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/DEPO.jpg,PT CATURKARDA DEPO BANGUNAN TBK
"PROSPERITY TOWER LANTAI 39, SCBD, DISTRICT 8, LOT 28, JL. JENDERAL SUDIRMAN KAV. 52-53, KELURAHAN SENAYAN, KECAMATAN KEBAYORAN BARU, JAKARTA SELATAN, 12190","OIL, GAS & COAL SUPPORTS","OIL, GAS & COAL EQUIPMENT & SERVICES",corporate.secretary@ptdh.co.id,-,JASA PERTAMBANGAN,DEWA,01.565.295.1-091.000,MAIN,ENERGY,"OIL, GAS & COAL",2007-09-26T00:00:00,021- 5025 8888,www.ptdh.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/DEWA.jpg,DARMA HENWA TBK
"JL. RAUNG NO.15, GAJAHMUNGKUR, SEMARANG - 50232",TOURISM & RECREATION,"HOTELS, RESORTS & CRUISE LINES",corporate@dafamproperty.com,-,"PENGEMBANGAN PROPERTI, PENGELOLAAN GEDUNG, SEWA GEDUNG , PERHOTELANDAN JASA MANAJEMEN HOTEL MELALUI ENTITAS ANAK",DFAM,0027.6879.3851.2000,DEVELOPMENT,CONSUMER CYCLICALS,CONSUMER SERVICES,2018-04-27T00:00:00,"+6224 8312735 , +6224 8506459",www.dafamproperty.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/DFAM.jpg,PT DAFAM PROPERTY INDONESIA TBK
"ITS TOWER NIFARRO PARK, TOWER OFFICE LT. 20 - JALAN KH. GURU AMIN NO.18. PEJATEN TIMUR. PASAR MINGGU. JAKARTA SELATAN. DKI JAKARTA 12510",HEAVY CONSTRUCTIONS & CIVIL ENGINEERING,HEAVY CONSTRUCTIONS & CIVIL ENGINEERING,corporate@nusakonstruksi.com,7396580,JASA KONSTRUKSI,DGIK,01.370.350.9-054.000,DEVELOPMENT,INFRASTRUCTURES,HEAVY CONSTRUCTIONS & CIVIL ENGINEERING,2007-12-19T00:00:00,"7221003, 7267603",http://www.nusakonstruksi.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/DGIK.jpg,NUSA KONSTRUKSI ENJINIRING TBK
"GEDUNG GRAHA ANAM LANTAI 2 JL. CIKDITIRO NO. 11 A, B, C, KELURAHAN GONDANGDIA, KECAMATAN MENTENG JAKARTA PUSAT 10350, INDONESIA",HEALTHCARE PROVIDERS,HEALTHCARE PROVIDERS,corsec@diagnos.co.id,0,BERGERAK DALAM BIDANG AKTIVITAS PELAYANAN PENUNJANG KESEHATAN,DGNS,02.492.628.9-076.000,DEVELOPMENT,HEALTHCARE,HEALTHCARE EQUIPMENT & PROVIDERS,2021-01-15T00:00:00,+62 21 3193 1883,www.diagnos.co.id,/Portals/0/StaticData/ListedCompanies/LogoEmiten/DGNS.jpg,PT DIAGNOS LABORATORIUM UTAMA TBK
"GEDUNG SAHID SUDIRMAN CENTER LANTAI 19 JALAN JEND. SUDIRMAN KAV. 86, JAKARTA 10220, INDONESIA",MEDIA,CONSUMER PUBLISHING,investor@arkadiacorp.com,+62 21 7241887,PORTAL WEB DAN KONTEN MULTIMEDIA MELALUI ENTITAS ANAK,DIGI,03.211.456.3-012.000,WATCHLIST,CONSUMER CYCLICALS,MEDIA & ENTERTAINMENT,2018-09-18T00:00:00,+62 21 7241888,www.arkadiacorp.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/DIGI.jpg,PT ARKADIA DIGITAL MEDIA TBK
"INTILAND TOWER, PENTHOUSE FLOOR, JL. JEND. SUDIRMAN 32, JAKARTA 10220, INDONESIA",REAL ESTATE MANAGEMENT & DEVELOPMENT,REAL ESTATE DEVELOPMENT & MANAGEMENT,info@intiland.com,+62 21 570 0015,PROPERTY DAN REAL ESTATE,DILD,01.060.126.8-054.000,MAIN,PROPERTIES & REAL ESTATE,PROPERTIES & REAL ESTATE,1991-09-04T00:00:00,"+62 21 570 1912, 570 8088",www.intiland.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/DILD.jpg,INTILAND DEVELOPMENT TBK
"AXA TOWER LT. 7, SUITE 5, KUNINGAN CITY JL PROF. DR. SATRIO KAV. 18, SETIABUDI JAKARTA 12940",ONLINE APPLICATIONS & SERVICES,ONLINE APPLICATIONS & SERVICES,corporate@ptdvn.com,+6221 30480713,BERGERAK DALAM BIDANG USAHA JASA TEKNOLOGI INFORMASI DAN DIGITAL,DIVA,0023556707022000,DEVELOPMENT,TECHNOLOGY,SOFTWARE & IT SERVICES,2018-11-27T00:00:00,+6221 30480712,www.ptdvn.com,/Portals/0/StaticData/ListedCompanies/LogoEmiten/DIVA.jpg,PT DISTRIBUSI VOUCHER NUSANTARA TBK
