Nama,cluster_node2vec_256
PT BANTEN ENERGY INTERNATIONAL,2
PT BANTEN WEST JAVA TOURISM DEVELOPMENT,1
PT BANTRUNK MURNI INDONESIA,0
PT BANYAN KOALINDO LESTARI,2
PT BANYU LAJU SHIPPING,0
PT BANYUBIRU SAKTI,2
PT BARA ALAM UTAMA,2
PT BARA ANUGRAH SEJAHTERA,1
PT BARA ENERGI LESTARI,2
PT BARA HARMONIS BATANG ASAM,2
PT BARA INDAH SINERGI,0
PT BARA INDO LAJU PRIMA,2
PT BARA MANUNGGAL SAKTI,2
PT BARA PRIMA KARYA BARU,2
PT BARA PRIMA PRATAMA,2
PT BARA SEJAHTERA ABADI,2
PT BARA SEJATI,0
PT BARA TABANG,0
PT BARADINAMIKA MUDASUKSES,0
PT BARAKUDA FILM GALERI INDONESIA,0
PT BARAMEGA CIPTA MULIA PERSADA,2
PT BARAMULTI SUGIH SENTOSA,0
PT BARASENTOSA LESTARI,2
PT BARATAMA PUTRA PERKASA,1
PT BARCLAY PRODUCTS,1
PT BARCO,0
PT BARIA BULK TERMINAL,2
PT BARISAN NUSANTARA SENTOSA,2
PT BARITO INVESTA PRIMA,0
PT BARITO JAYA SARANA,2
PT BARITO MITRA INVESTAMA,0
PT BARITO PUTERA DOCKING,2
PT BARITO RENEWABLES ENERGY TBK,0
PT BARITO TEKNIK PRASARANA,2
PT BARITO WAHANA LESTARI,0
PT BARITO WANABINAR INDONESIA,0
PT BAROID INDONESIA,0
PT BARUNA DIRGA DHARMA,2
PT BARUNA PASIFIK RAYA,2
PT BARUNA POWER LINE,2
PT BARUNA RAYA LOGISTICS,2
PT BARUNA TELE NUSA,1
PT BASALT SINAR LESTARI,1
PT BASF CARE,2
PT BASF INDONESIA,2
PT BASIS UTAMA PRIMA,2
PT BASKARA ASRI GHAS,1
PT BASUKI RAHMANTA PUTRA,2
PT BATAM BINTANG BAHANA,0
PT BATAM ENERGI SURYA SENTOSA,2
PT BATAM KARYA MANDIRI,2
PT BATAM SARANA SURYA,2
PT BATAM SURYA ENERGI,0
PT BATAM TIRTA SURYA,2
PT BATAMINDO INVESTMENT CAKRAWALA,2
PT BATARA INDAH,1
PT BATARA INDAH MULIA,1
PT BATAVIA PROSPERINDO INTERNASIONAL TBK,1
PT BATAVIA PROSPERINDO LOGISTIK,1
PT BATAVIA PROSPERINDO TRANS TBK,1
PT BATAVIA PROSPERITY ECOTRANS,1
PT BATIQA HOTEL MANAJEMEN,2
PT BATOLA PRIMATAMA,2
PT BATU BINTANG TIMUR,0
PT BATU BORNEO PERDANA,0
PT BATU INVESTASI INDONESIA,0
PT BATU JAYA GEMILANG,2
PT BATUAN ANUGERAH SEMESTA,2
PT BATUBARA BUKIT KENDI,2
PT BATUBARA DUARIBU ABADI,2
PT BATUBARA GLOBAL ENERGY,2
PT BATULICIN BUMI BERSUJUD,2
PT BATULICIN ENAM SEMBILAN SECURITY,1
PT BATULICIN ENAM SEMBILAN TRANSPORTASI,2
PT BATULICIN NUSANTARA MARITIM TBK,2
PT BATURAJA DAYA INSANI,2
PT BATURAJA MULTI USAHA,2
PT BATURONA ADIMULYA,2
PT BATUTA CHEMICAL INDUSTRIAL PARK,2
PT BATUTUA ABADI JAYA,2
PT BATUTUA ALAM PERSADA,2
PT BATUTUA KHARISMA PERMAI,2
PT BATUTUA TEMBAGA RAYA,2
PT BAUER PRATAMA INDONESIA,2
PT BAWEN INVESTAMA PERDANA,0
PT BAYAN ENERGY,2
PT BAYER INDONESIA,1
PT BAYU ALAM SEJAHTERA,2
PT BAYU BUANA TRANSPORT,0
PT BAYU LESTARI TANAYA,0
PT BAYU SINERGI SAKTI,2
PT BCA FINANCE,1
PT BCA MULTI FINANCE,1
PT BCA SEKURITAS,1
PT BE WIN,0
PT BEAM MOBILITY INDONESIA,1
PT BECTON DICKINSON INDONESIA,1
PT BEI BEE WOO,1
PT BEIERSDORF INDONESIA,1
PT BEKASI KARYA BANGSA,0
PT BEKASI MATRA INDUSTRIAL ESTATE,2
PT BEKASI MEDIKA INSAN,0
PT BEKASI POWER,2
PT BEKASI SURYA PRATAMA,2
PT BEKO APPLIANCES INDONESIA,1
PT BELAJAR TUMBUH BERBAGI,1
PT BELAPUTERA INTILAND,1
PT BELAYAN RIVER TIMBER,0
PT BELEKONG MINERAL RESOURCES,2
PT BELFOODS INDONESIA,1
PT BELIDA KARYA LESTARI,1
PT BELINDO BINTANG BUANA,0
PT BELITUNG RESOR INTERNASIONAL,0
PT BELLA INDAH GAPURA,0
PT BENFOOD DINAMIKA SENTOSA,1
PT BENGAWAN KARYA SAKTI,1
PT BENOA MARITIM TRANSPORT,2
PT BENQ TEKNOLOGI INDONESIA,1
PT BENSON MEDIA KREASI,0
PT BENTENG CIPTA LAKSANA,0
PT BENTENG TERANG SEJAHTERA,0
PT BENTOEL DISTRIBUSI UTAMA,1
PT BENTOEL PRIMA,1
PT BENTONIT ALAM INDONESIA,1
PT BENUA ABADI MENTARI,0
PT BENUA AGUNG ABADI,0
PT BENUA ETAM JAYA MANDIRI,2
PT BENUA HAMPARAN LUAS,0
PT BENUA PRIMA ABADI,0
PT BENUA PRIMA AGUNG,0
PT BENUA PRIMA SURYA,0
PT BENUA SAMUDERA LOGISTICS,2
PT BENUA SAMUDERA PERKASA,2
PT BENUA SEJAHTERA MENTARI,0
PT BENUA SUMBER ABADI,0
PT BERANI CANTIK INDONESIA,1
PT BERAU COAL,2
PT BERAU COAL ENERGY TBK,2
PT BERAU MITRA SEJATI,2
PT BERCA HARDAYAPERKASA,1
PT BERCA SCHINDLER LIFTS,2
PT BERDIKARI INTI GEMILANG,1
PT BERDIKARI PONDASI PERKASA,2
PT BERDIKARI TUNGGAL PERKASA,2
PT BERHASIL INDONESIA GEMILANG,2
PT BERILL JAYA SEJAHTERA,1
PT BERJAYA AGUNG INDONESIA,2
PT BERJAYA DYNAMICS INDONESIA,0
PT BERJAYA TIGA BINTANG,2
PT BERKAH ALAM LESTARI ENERGI,2
PT BERKAH BUANA ENERGI,2
PT BERKAH DAYA MANDIRI,2
PT BERKAH DELAPAN SAMUDERA,0
PT BERKAH DIGITAL DISTRINDO,1
PT BERKAH HIKMAH ENERGI,2
PT BERKAH KARUNIA KREASI,1
PT BERKAH MANIS MAKMUR,1
PT BERKAH OMEGA SUKSES,1
PT BERKAH PRIMA PERKASA TBK,0
PT BERKAH RENEWABLE ENERGI,2
PT BERKAH SAMUDRA KHATULISTIWA,2
PT BERKAH TRIJAYA INDONESIA,1
PT BERKARYA SEJAHTERA GEMILANG,0
PT BERKAT AMADEUS SUKSES SENTOSA,1
PT BERKAT BERSAMA TEKNIK,1
PT BERKAT BUMI SAWIT,0
PT BERKAT INDOKARYA GEMILANG,0
PT BERKAT MANUNGGAL ENERGI,2
PT BERKAT MARITIME INDONESIA,2
PT BERKAT MITRA LESTARI,1
PT BERKAT MURAH REJEKI,2
PT BERKAT NIKEL INDONESIA,1
PT BERKAT NUSANTARA INDAH,2
PT BERKAT NUSANTARA PERMAI,2
PT BERKAT PERDANA MAKMUR,1
PT BERKAT SATRIA ABADI,2
PT BERKAT VALAS INDONESIA,1
PT BERLIAN CAHAYA INDAH,0
PT BERLIAN DJAYA NUSANTARA,2
PT BERLIAN DUMAI LOGISTICS,0
PT BERLIAN INTI MEKAR,2
PT BERLIAN KHATULISTIWA L,2
PT BERLIAN LIMATAMA,0
PT BERLIAN MANYAR SEJAHTERA,2
PT BERLIAN MITRA INTI,2
PT BERLIAN TAMBANG INDONESIA,2
PT BERLICO MULIA FARMA,0
PT BERNOFARM,1
PT BERSAMA KARUNIA MANDIRI,0
PT BERSAMA KARUNIA MANDIRI RITEL,0
PT BERSAMA LEMINDO ABADI,1
PT BERUA JAYA SEJAHTERA UTAMA,2
PT BERUANG MARITIM INDONESIA,0
PT BESAR CIPTA KARYA,1
PT BESAR INTI GLOBAL,1
PT BESEN CITRA PERMATA,0
PT BEST SINAR NUSANTARA,2
PT BEST TIRTA TECHNOLOGY,2
PT BESTAMA MEDIKACENTER INVESTAMA,1
PT BETA SUMATERA JAYA PLAST,0
PT BETHESDA RAJA KANU,1
PT BEYOND MEDIA,0
PT BEYOND MEDICAL INDONESIA,1
PT BHADRA CEMERLANG,2
PT BHADRA SUKSES,2
PT BHAKTI AGUNG PROPERTINDO TBK,0
PT BHAKTI ARTHA GLOBAL,0
PT BHAKTI BUANA MAKMUR DISTRIBUTOR,2
PT BHAKTI CAHAYA UTAMA,0
PT BHAKTI COAL RESOURCES,0
PT BHAKTI FINTEK INDONESIA,0
PT BHAKTI HARAPAN SEJAHTERA,2
PT BHAKTI MIGAS RESOURCES,0
PT BHAKTI MITRA USAHA,0
PT BHAKTI MULTI ARTHA TBK,0
PT BHAKTI PANJIWIRA,0
PT BHAKTI RAJAWALI MANDIRI,2
PT BHAKTI SARI PERKASA ABADI,2
PT BHANDA GHARA REKSA,2
PT BHARINTO EKATAMA,1
PT BHASKARA INTI SAMUDERA,2
PT BHASKARA MITRA MANUNGGAL,0
PT BHASKARA MUTU SENTOSA,0
PT BHINEKA ABADI INVESTAMA,0
PT BHINEKA CIPTABAHANA PURA,2
PT BHINEKA LIFE INDONESIA,0
PT BHIRAWA MITRA SENTOSA,1
PT BHIRAWA STEEL,2
PT BHUMI JATI POWER,2
PT BHUMI JEPARA SERVICE,2
PT BHUMI LESTARI MAKMUR,0
PT BHUMI RANTAU ENERGI,2
PT BHUMI SATU INTI,2
PT BHUMI SIMANGGARIS INDAH,0
PT BICC CABLE,2
PT BIG BIRD PUSAKA,1
PT BIG ECOMMERCE BERSAMA,1
PT BIJI KOPI INTERNUSA,0
PT BILAH BAJA MAKMUR ABADI,2
PT BILIK SINERGI INDONESIA,1
PT BIMA AGRI SAWIT,2
PT BIMA KALTIM UTAMA,2
PT BIMA MARITIMINDO,2
PT BIMA NATISA GRAHA,2
PT BIMA PALMA NUGRAHA,2
PT BIMA SAKTI PERTIWI TBK,0
PT BIMA SAKTI STUDIO,1
PT BIMANTARA CITRA,2
PT BIMANTARA DANAR DIPTA,0
PT BINA ARTA CHARISMA,1
PT BINA BAHTERA SEJATI,0
PT BINA BATULICIN USAHA,2
PT BINA CIPTA NUSANTARA,0
PT BINA CIPTA SEMESTA,0
PT BINA CIPTA TEKNOLOGI,1
PT BINA CITRA SENTOSA,0
PT BINA HUSADA GEMILANG,1
PT BINA ILMA HUSADA,1
PT BINA INDO RAYA,2
PT BINA INFRASTRUKTUR NUSANTARA,0
PT BINA KARNADA,0
PT BINA KARYA PRIMA,0
PT BINA MAKNA INDOPRATAMA,1
PT BINA MITRA INDOSEJAHTERA,2
PT BINA MUARA RAYA,2
PT BINA NUSA INDONESIA,1
PT BINA PERTIWI,2
PT BINA PERTIWI ENERGI,2
PT BINA SAN PRIMA,2
PT BINA SARANA SUKSES,2
PT BINA SEWANGI RAYA,2
PT BINA SINAR AMITY,0
PT BINA UNGGUL KENCANA,1
PT BINA YATRA SENTOSA,0
PT BINAJAYA RODAKARYA,0
PT BINARA GUNA MEDIKTAMA,1
PT BINARY VENTURA INDONESIA,0
PT BINASAWIT ABADI PRATAMA,2
PT BINASAWIT MAKMUR,0
PT BINATEK REKA KRUH,0
PT BINEXCOM MANDIRI BUANA,1
PT BINJAI HATUA MAKMUR,0
PT BINJAI JAYA INDAH,0
PT BINO DIGITAL SOLUSI,1
PT BINO MITRA SEJATI,1
PT BINTAI KINDENKO ENGINEERING INDONESIA,2
PT BINTANG AGUNG PERSADA,0
PT BINTANG ALAM REJEKI,2
PT BINTANG ANUGRAH SAMUELRENO,2
PT BINTANG ARTHA GLOBAL,1
PT BINTANG ARTHA GUNA,1
PT BINTANG BAHARI SEJATI,2
PT BINTANG BAJA HITAM,1
PT BINTANG BERSINAR CEMERLANG,0
PT BINTANG CIPTA SEJAHTERA,0
PT BINTANG DEWATA ABADI,1
PT BINTANG DIGITAL UTAMA,1
PT BINTANG DWI LESTARI,0
PT BINTANG GRAHA LOKA,0
PT BINTANG GRAHA MAKMUR,0
PT BINTANG GRAHA MANDIRI,0
PT BINTANG INTER GLOBAL,1
PT BINTANG INTERINDO GEMILANG INTERNASIONAL,1
PT BINTANG KANGURU,0
PT BINTANG KENCANA ARTHA,1
PT BINTANG LAJU SAMUDRA,2
PT BINTANG LANGIT,0
PT BINTANG LAUT TIMUR,1
PT BINTANG MEGA CEMERLANG,1
PT BINTANG MERAH PERKASA ABADI,1
PT BINTANG MITRA DANA,1
PT BINTANG OTO GLOBAL TBK,1
PT BINTANG PERDANA MULIA,0
PT BINTANG PERKASA MOBILINDO,1
PT BINTANG RAYA ANUGERAH LESTARI,0
PT BINTANG SAMUDERA MANDIRI LINES TBK,2
PT BINTANG SAMUDERA MANDIRI PERSADA,2
PT BINTANG SINAR FORTUNA,1
PT BINTANG SMELTER INDONESIA,1
PT BINTANG SUKSES ENERGI,2
PT BINTANI MEGAHINDAH,2
PT BINTARO ARKADE DUA,1
PT BINTARO SERPONG DAMAI,2
PT BINTORO ENERGI PERSADA,2
PT BINUANG MITRA BERSAMA BLOK DUA,2
PT BIO FARMA (PERSERO),2
PT BIO PERMAI,2
PT BIOFUEL INDO SUMATRA,2
PT BIOGEN SCIENTIFIC,2
PT BIOMASA JAYA ABADI,0
PT BIOMASSA ALAM ENERGI,2
PT BIOMASSA LESTARI NUSANTARA,2
PT BIP BOGA PERMAI,1
PT BIP LOKAKENCANA,1
PT BIP PROPERTI PERMAI,1
PT BIRA MINERAL NUSANTARA,2
PT BIRO KLASIFIKASI INDONESIA (PERSERO),2
PT BIROPAY INDOTEKNOLOGI GLOBAL,0
PT BIRU PERSADA UTAMA,0
PT BISA RUANG NUSWANTARA,2
PT BISMACINDO PERKASA,1
PT BIT TEKNOLOGI NUSANTARA,1
PT BITHEALTH TEKNOLOGI PINTAR,0
PT BITNET KOMUNIKASINDO,0
PT BITUNG GUNASEJAHTERA,1
PT BJB SEKURITAS JAWA BARAT,0
PT BLACKHAWK NETWORK INDONESIA,1
PT BLACKSTEEL PROPERTIES,1
PT BLDX KOMIK NUSANTARA,1
PT BLESS PLASTINDO UTAMA,0
PT BLESSINDO MAKMUR SENTOSA,1
PT BLESSINDO PRIMA SARANA,2
PT BLISS PEMBANGUNAN SEJAHTERA,1
PT BLISS PROPERTI INDONESIA TBK,1
PT BLOCKBUSTER MEDIA VISUAL,0
PT BLOOM TRADING INDONESIA,2
PT BLT INTERNATIONAL GROUP,0
PT BLUE BIRD PUSAKA,1
PT BLUE BIRD TAXI,1
PT BLUE BIRD TBK,1
PT BLUE GAS INDONESIA,0
PT BLUE STAR MEDIA,1
PT BMB & AKSESORIS KONSTRUKSI,2
PT BMHS DIKLAT INDONESIA,2
PT BNI LIFE INSURANCE,1
PT BNI MODAL VENTURA,1
PT BNI MULTIFINANCE,1
PT BNI SEKURITAS,1
PT BOGA ABADI PRIMA,1
PT BOGA CATUR RATA,1
PT BOGAMULIA NAGADI,1
PT BOGASARI FLOUR MILLS,1
PT BOGASARI SENTRA FLOUR MILLS,1
PT BOGORINDO CEMERLANG,0
PT BOJONG INDAH MANDIRI,2
PT BOLA NUSANTARA,1
PT BOLA NUSANTARA JAYA,1
PT BOLTTECH DEVICE PROTECTION INDONESIA,1
PT BONA DEKA JAVA,0
PT BONANZA MEGAH,0
PT BONT TECHNOLOGIES NUSANTARA,0
PT BORMINDO NUSANTARA,2
PT BORNEO ALUMINA INDONESIA,2
PT BORNEO AURA SUKSES,1
PT BORNEO BHAKTI SEJAHTERA,0
PT BORNEO EDO INTERNATIONAL,2
PT BORNEO EDO INTERNATIONAL AGRO,2
PT BORNEO EDO SEJAHTERA,2
PT BORNEO GUNA LAKSANA,2
PT BORNEO HYDRO ELECTRIC,2
PT BORNEO INDAH MARJAYA,2
PT BORNEO INDOBARA,2
PT BORNEO INTER AERO,2
PT BORNEO LANGGENG SEJAHTERA,0
PT BORNEO MITRA BERSAMA SEJATI,0
PT BORNEO SAMUDRA PERKASA,2
PT BORNEO SAWIT GEMILANG,0
PT BORNEO SENTANA GEMILANG,2
PT BORNEO SUKSES RAYA KALTIM,1
PT BOSSONGANG ENERGY PLANTATION,2
PT BOSTON CONSULTING INDONESIA,2
PT BOSTON FURNITURE INDUSTRIES TBK,0
PT BPR INTAN JABAR,0
PT BPR KREDIT MANDIRI CELEBES SEJAHTERA,0
PT BRAGA JAVAS KASTARA,1
PT BRAHMAYASA BAHTERA,2
PT BRAMASTA JAYA ABADI,2
PT BRANTAS ABIPRAYA (PERSERO),2
PT BRASALI INDUSTRI PRATAMA,2
PT BRAWIJAYA CAPITAL INVESTAMA,1
PT BREDERO SHAW INDONESIA,2
PT BRENNTAG,1
PT BRI ASURANSI INDONESIA (BRI INSURANCE,1
PT BRI DANAREKSA SEKURITAS,1
PT BRI MANAJEMEN INVESTASI,1
PT BRI MULTIFINANCE INDONESIA,1
PT BRI VENTURA INVESTAMA (BRI VENTURES,1
PT BRIAN ANJAT SENTOSA,2
PT BRIGHT GLAZE INDONESIA,0
PT BRIGHTY GLOBAL,1
PT BRILLIANT SAKTI PERSADA,0
PT BRINGIN INTI TEKNOLOGI,1
PT BRINGIN SEJAHTERA MAKMUR,1
PT BRINGIN WULANKI AYU,1
PT BROADBAND WAHANA ASIA,1
PT BROADBIZ ASIA,2
PT BROMO ALAM SENTOSA,0
PT BROTOJOYO MARITIME,0
PT BS INVESTASI PRATAMA,1
PT BST PERLAUTAN BALI,1
PT BTPN SYARIAH VENTURA,0
PT BTPNS VENTURA,0
PT BUANA ARTHA ANUGERAH TBK,0
PT BUANA BAJA BINA SEMESTA,2
PT BUANA BARA EKAPRATAMA,2
PT BUANA BARU PRIMA,0
PT BUANA BEJANA,0
PT BUANA BUMI ENERGI,2
PT BUANA CHANDRA MANDIRI,1
PT BUANA DIGDAYA SEJAHTERA,0
PT BUANA EKA PRIMA,2
PT BUANA GELAR PARIWICARA,0
PT BUANA GRAHA UTAMA,0
PT BUANA INTI CITRAPRIMA,2
PT BUANA INTI GEMILANG STATIONERY,0
PT BUANA KONSTRUKSI ELEKTRINDO,2
PT BUANA KONTENINDO EXPRESS,2
PT BUANA LAUTAN LINE,0
PT BUANA LINTAS LAUTAN TBK,0
PT BUANA MAKMUR INDAH,0
PT BUANA MAS SEJAHTERA,2
PT BUANA MEGAWISATAMA,2
PT BUANA NIAGA ENERGI,2
PT BUANA PACIFIC INTERNATIONAL,2
PT BUANA SURYA MAKMUR,0
PT BUANACITRA INTERNUSA,0
PT BUANAGRAHA ARTHAPRIMA,1
PT BUANASARANA SEJATIINDAH,0
PT BUANATATA ADISENTOSA,1
PT BUDHI BERSAUDARA MANUNGGAL,0
PT BUDI DELTA SWAKARYA,0
PT BUDI DERMAGA PERKASA,0
PT BUDI DWIYASA PERKASA,2
PT BUDI GEMA GEMPITA,2
PT BUDI GRAHAREALTY,2
PT BUDI LUMBUNG CIPTA TANI,0
PT BUDI MULYA JAYA,2
PT BUDI STARCH & SWEETENER TBK,0
PT BUDIJAYA MAKMURSENTOSA,0
PT BUDIMAN KENCANA LESTARI,0
PT BUDIMULIA INVESTAMA,2
PT BUDINUSA CIPTAWAHANA,2
PT BUDITAMA NIRWANA,0
PT BUILDERS SHOP,2
PT BUKA BANGUNAN INDONESIA,1
PT BUKA INVESTASI BERSAMA,1
PT BUKA INVESTASI DIGITAL,1
PT BUKA INVESTASI NUSANTARA,1
PT BUKA MITRA INDONESIA,1
PT BUKA MITRA PROPERTI,1
PT BUKA PENGADAAN INDONESIA,0
PT BUKA USAHA INDONESIA,1
PT BUKAKA ENERGI,2
PT BUKAKA FORGING INDUSTRIES,2
PT BUKAKA KOKARINDO,2
PT BUKAKA MANDIRI SEJAHTERA,2
PT BUKAKA MEGA INVESTAMA,2
PT BUKAKA MINYU INDUSTRIES,2
PT BUKAKA TEKNIK UTAMA BALIKPAPAN,2
PT BUKALAPAK.COM TBK,1
PT BUKIT ANDALAN SUKSES,1
PT BUKIT ASAM BANKO,2
PT BUKIT ASAM MEDIKA,2
PT BUKIT ASAM METANA ENIM,2
PT BUKIT ASAM METANA OMBILIN,2
PT BUKIT ASAM PRIMA,2
PT BUKIT BAIDURI ENERGI,2
PT BUKIT BALI PERMAI,0
PT BUKIT BARA ALAM,2
PT BUKIT BATU MULIA,2
PT BUKIT ENERGI INVESTAMA,2
PT BUKIT ENERGI SERVICE TERPADU,2
PT BUKIT HEDAMA PERMAI,0
PT BUKIT INTAN SEDJATI INTERNATIONAL,2
PT BUKIT INTI LESTARI,0
PT BUKIT JAYA SEMESTA,1
PT BUKIT JONGGOL ASRI,0
PT BUKIT LAGOI VILLA,0
PT BUKIT MAHKOTA,2
PT BUKIT MAKMUR INTERNASIONAL,2
PT BUKIT MAKMUR MANDIRI UTAMA,2
PT BUKIT MULTI INVESTAMA,2
PT BUKIT MULTI PROPERTI,2
PT BUKIT PALEM,0
PT BUKIT PALMA PRIMA,0
PT BUKIT PEMBANGKIT INNOVATIVE,2
PT BUKIT PRIMA BAHARI,2
PT BUKIT PROPERTI LOGISTIK,2
PT BUKIT SMELTER INDONESIA,2
PT BUKIT SURYA MAS,2
PT BUKIT TEKNOLOGI DIGITAL,2
PT BUKIT ULUWATU VILLA TBK,0
PT BUKIT WELIRANG INDAH,1
PT BUKITASAM TRANSPACIFIC RAILWAY,2
PT BUKITMEGA MASABADI,1
PT BULL LAUTAN LINE,0
PT BULL PELAYARAN INTERNASIONAL,0
PT BULUNGAN HIJAU PERKASA,0
PT BUMA INTERNASIONAL GRUP TBK,2
PT BUMEN DUTACIPTA SARANA,1
PT BUMEN REDJA ABADI,1
PT BUMI AGRO INDONESIA,0
PT BUMI AGUNG PERKASA INDAH,2
PT BUMI ALAM RAYA,2
PT BUMI ALAM SERAYA,2
PT BUMI AMAN SEJAHTERA,2
PT BUMI ANDALAS PERMAI,1
PT BUMI BENOWO SUKSES SEJAHTERA TBK,0
PT BUMI BERKAT LESTARI RAYA,0
PT BUMI CIPTA RASA,1
PT BUMI CITRA INVESTINDO,0
PT BUMI DAYA MAKMUR,2
PT BUMI DHANA INDONESIA,2
PT BUMI GRESIK SUKSES,2
PT BUMI HIDRO ENERGI,2
PT BUMI HIJAU ASRI,2
PT BUMI INDAWA NIAGA,0
PT BUMI KARSA,2
PT BUMI KARUNIA PERTIWI,2
PT BUMI KENCANA EKA SEJAHTERA,2
PT BUMI KONAWE ABADI,0
PT BUMI KREASI BARU,0
PT BUMI MAJALENGKA PERMAI,2
PT BUMI MAS INDO SAWIT,0
PT BUMI MEKAR HIJAU,1
PT BUMI MEKAR TANI,1
PT BUMI MINERAL INDONUSA,0
PT BUMI MINERAL SENTOSA,2
PT BUMI MINERAL SULAWESI,2
PT BUMI MULIA INDAH,1
PT BUMI MULIA PERKASA,2
PT BUMI NUSANTARA JAYA,2
PT BUMI NUSARAYA UTAMA,2
PT BUMI PANGAN ASRI,1
PT BUMI PANGAN INTI,1
PT BUMI PANGAN MULIA,1
PT BUMI PANGAN SEJAHTERA,1
PT BUMI PANGAN UTAMA,1
PT BUMI PASIFIK KENCANA,0
PT BUMI PERANGAT HIJAU,2
PT BUMI PERKASA GEMILANG,0
PT BUMI PERSADA PERMAI,2
PT BUMI PETANGIS,0
PT BUMI PETRA MAKMUR,0
PT BUMI PRADA,1
PT BUMI RAYA OPTIMA,2
PT BUMI RAYA SAKTI,2
PT BUMI RAYA UTAMA WOOD INDUSTRIES,2
PT BUMI SAWINDO PERMAI,2
PT BUMI SAWIT PERKASA,0
PT BUMI SEKUNDANG ENIM ENERGY,0
PT BUMI SENTOSA ABADI,2
PT BUMI SENTRA INVESTAMA,2
PT BUMI SERPONG DAMAI TBK,2
PT BUMI SHANGRIL LA JAYA,0
PT BUMI SRIWIJAYA HARAPAN,2
PT BUMI SUBUR LESTARI TANI,2
PT BUMI SUKSESINDO,2
PT BUMI SUMBER ANDALAN,0
PT BUMI SUMBERDAYA SEMESTA,2
PT BUMI TARA PERDANA,0
PT BUMI TARA PERKASA,0
PT BUMI TARA PRATAMA,0
PT BUMI TARA SINERGI,0
PT BUMI UNGGUL PERSADA,0
PT BUMI WARDANA,0
PT BUMIASRI LESTARI,1
PT BUMIFOOD AGRO INDUSTRI,1
PT BUMIHUTANI LESTARI,0
PT BUMILANGGENG PERDANATRADA,0
PT BUMILANGIT DIGITAL MEDIATAMA,1
PT BUMIMULIA INDAH LESTARI,1
PT BUMINDO MEKAR WIBAWA,0
PT BUMIPRATAMA KHATULISTIWA,0
PT BUMIPUTERA MAHA TERPERCAYA,2
PT BUMIRAYA ENERGI NUSANTARA,2
PT BUMIRAYA HIJAU LESTARI,2
PT BUMIRESIK NUSANTARA RAYA,2
PT BUNDA GLOBAL PHARMA,2
PT BUNDA GRAHA PROPERTI,2
PT BUNDA INVESTAMA INDONESIA,0
PT BUNDA MEDIKA BEKASI,2
PT BUNDA MEDIKA DEWATA,2
PT BUNDA MEDIKA KLINIK,2
PT BUNDA MEDIKA WISESA,2
PT BUNDA MINANG CITRA,2
PT BUNDAMEDIK,2
PT BUNDAMEDIK TBK,2
PT BUNGA MATAHARI SOLUSINDO,1
PT BUNGASARI FLOUR MILLS INDONESIA,1
PT BUNGO BARA MAKMUR,2
PT BUNGO BARA UTAMA,2
PT BURDA CONTRACO,2
PT BUTON MINERAL INDONESIA,2
PT BUYUNG INVESTAMA GEMILANG,1
PT BUYUNG POETRA SEMBADA TBK,1
PT BUYUNG PUTRA ENERGI,1
PT BYD AUTO INDONESIA,2
PT CABOT INDONESIA,2
PT CAHAYA ABADI LESTARI ENERGI,2
PT CAHAYA ALAM,0
PT CAHAYA AMANAH SENTOSA,2
PT CAHAYA BAJA SUKSES,2
PT CAHAYA BARA PRATAMA,2
PT CAHAYA BERLIAN TEKNIK,2
PT CAHAYA GEMILANG INDAH CEMERLANG,0
PT CAHAYA GEMPITA UTAMA,0
PT CAHAYA GUNUNG FOODS,1
PT CAHAYA INDAH SANGSURYA,1
PT CAHAYA INTERKONTINENTAL PEMEGANG SAHAM PENGENDALI,0
PT CAHAYA INTI SENTOSA,0
PT CAHAYA INVESTAMA,1
PT CAHAYA KENCANA INDAH,0
PT CAHAYA LESTARI SEJAHTERA,0
PT CAHAYA METAL PERKASA,2
PT CAHAYA NUSA PRATAMA,2
PT CAHAYA NUSA SENTOSA,0
PT CAHAYA PLASTINDO SEJAHTERA,0
PT CAHAYA POWER INDONESIA,2
PT CAHAYA RETILINDO,0
PT CAHAYA ROYAL INDONUSA,0
PT CAHAYA SAKTI GEMILANG,2
PT CAHAYA SAMOEDERA BERSAUDARA,2
PT CAHAYA SEJAHTERA ABADI,1
PT CAHAYA SEMESTA INVESTA,0
PT CAHAYA SOLUSINDO PERKASA,2
PT CAHAYA SUKSES TEHNIK UTAMA,2
PT CAHAYA USAHA BERSAMA,0
PT CAHAYA UTAMA NUSANTARA,2
PT CAHAYAPUTRA ASA KERAMIK TBK,1
PT CAHAYASAKTI INVESTINDO SUKSES TBK,0
PT CAHYA VIDI ABADI,0
PT CAKRA ALAM MAKMUR,1
PT CAKRA BHAKTI PARA PUTRA,2
PT CAKRA BUMI ENERGI,0
PT CAKRA INDO PRATAMA,2
PT CAKRA INTI UTAMA,1
PT CAKRA KENCANA,0
PT CAKRA LIMA,2
PT CAKRA MANUNGGAL SEMESTA,0
PT CAKRADENTA AGUNG PERTIWI,2
PT CAKRAWALA ANDALAS TELEVISI,0
PT CAKRAWALA ANDALAS TELEVISI BALI DAN MATARAM,0
PT CAKRAWALA ANDALAS TELEVISI BANDUNG DAN BENGKULU,0
PT CAKRAWALA ANDALAS TELEVISI BANJARMASIN DAN PADANG,0
PT CAKRAWALA ANDALAS TELEVISI LAMPUNG DAN KENDARI,0
